layer,head,mean_importance,imp_shortcut,imp_nuanced
21,27,0.676056,0.830225,0.669544
22,19,0.674525,0.836646,0.675433
22,24,0.674449,0.829458,0.669182
22,12,0.674001,0.816397,0.674229
21,32,0.670551,0.834239,0.660621
22,8,0.670475,0.826182,0.668457
22,26,0.669575,0.827911,0.658633
22,6,0.668175,0.813522,0.676294
22,13,0.667375,0.81937,0.667653
22,14,0.667193,0.810966,0.674086
22,11,0.665756,0.814576,0.667081
22,17,0.665621,0.827093,0.666373
22,10,0.664792,0.809662,0.667404
22,1,0.663804,0.814953,0.661972
23,2,0.663133,0.810558,0.65396
22,18,0.659315,0.804161,0.657829
22,29,0.658658,0.813262,0.652103
22,20,0.657416,0.799119,0.666988
22,23,0.656642,0.812153,0.652729
22,25,0.65642,0.809304,0.653568
22,9,0.654935,0.810959,0.652206
22,28,0.654922,0.791985,0.65423
22,4,0.654397,0.801948,0.652761
22,5,0.652563,0.798868,0.646133
22,30,0.652323,0.802824,0.652442
22,21,0.651065,0.792423,0.650354
22,31,0.649976,0.794493,0.644412
22,7,0.649702,0.7937,0.647466
24,16,0.648997,0.800893,0.645134
23,19,0.646687,0.802918,0.645698
23,24,0.645993,0.796726,0.637764
22,22,0.645671,0.792614,0.641815
23,12,0.645143,0.780532,0.64084
22,15,0.644802,0.788474,0.643132
23,10,0.644013,0.786152,0.643756
23,3,0.642867,0.783518,0.64823
22,27,0.642522,0.791717,0.637123
23,6,0.642196,0.782729,0.646827
23,17,0.6415,0.794628,0.636112
23,14,0.641472,0.784621,0.644146
23,11,0.640816,0.785388,0.641997
23,26,0.64051,0.791001,0.632394
23,23,0.637872,0.785497,0.633543
23,1,0.63654,0.778728,0.637813
23,13,0.636534,0.78248,0.635626
22,32,0.636333,0.794312,0.634058
23,8,0.632914,0.780893,0.631009
23,20,0.632318,0.765598,0.644707
23,28,0.631668,0.768519,0.631089
23,18,0.630885,0.770581,0.632289
23,25,0.630419,0.779857,0.6265
24,17,0.629256,0.778857,0.623899
23,5,0.626455,0.767766,0.6217
23,29,0.626375,0.776399,0.616203
